         ps       /inverter_tb/r_sig1         
          delta       /inverter_tb/result     
          0  +0                   UUU UUU 
          0  +1                   000 UUU 
          0  +2                   000 111 
      10000  +1                   001 111 
      10000  +2                   001 110 
      20000  +1                   010 110 
      20000  +2                   010 101 
      30000  +1                   011 101 
      30000  +2                   011 100 
      40000  +1                   100 100 
      40000  +2                   100 011 
      50000  +1                   101 011 
      50000  +2                   101 010 
      60000  +1                   110 010 
      60000  +2                   110 001 
      70000  +1                   111 001 
      70000  +2                   111 000 
      80000  +1                   000 000 
      80000  +2                   000 111 
      90000  +1                   001 111 
      90000  +2                   001 110 
     100000  +1                   010 110 
     100000  +2                   010 101 
